label,label_count,img_count,train_count,test_count
brownblight,2794,1484,0,0
algal,646,325,0,0
blister,458,295,0,0
sunburn,124,74,0,0
fungi_early,594,312,0,0
roller,452,265,0,0
moth,196,161,0,0
tortrix,539,464,0,0
flushworm,133,130,0,0
caloptilia,216,202,0,0
mosquito_early,682,347,0,0
mosquito_late,1134,554,0,0
miner,371,354,0,0
thrips,544,388,0,0
tetrany,554,208,0,0
formosa,180,85,0,0
nodicornis,60,31,22,9
aleyrodidae,56,34,30,4
termite,85,30,0,0
inchmoth,30,30,0,0
other,3746,1278,0,0
